CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50085326,GUPSHUP,Manhattan,113,E 18TH ST,10003,2125187313,Indian,06/28/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,28,,,10/07/2019,Cycle Inspection / Initial Inspection,40.736793415104,-73.987745676103,105,02,005000,1017863,1008740010,MN21
50062365,H-YARD GOURMET DELI,Manhattan,450,9TH AVE,10018,2128372896,Delicatessen,08/02/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,30,,,10/07/2019,Cycle Inspection / Initial Inspection,40.754140885849,-73.995737296843,104,03,011100,1082258,1007590001,MN13
41684054,THE BOIL,Manhattan,139,CHRYSTIE STREET,10002,2129258815,Seafood,12/26/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,19,,,10/07/2019,Cycle Inspection / Initial Inspection,40.719595159461,-73.993098807722,103,01,001800,1005665,1004240028,MN27
41544554,U LIKE CHINESE RESTAURANT,Brooklyn,602,MARCY AVENUE,11206,7182439096,Chinese,06/02/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,50,,,10/07/2019,Cycle Inspection / Initial Inspection,40.694008231138,-73.948947963296,303,36,025300,3048777,3017580054,BK75
50079467,DUSK TIL DAWN BAR & LOUNGE,Brooklyn,372,Kosciuszko St,11221,9176504160,American,01/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,87,,,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.69201074858,-73.939159138238,303,36,028100,3043320,3016050001,BK35
50051434,PARADE CAFE,Brooklyn,622,CATON AVE,11218,7184385445,Sandwiches/Salads/Mixed Buffet,04/18/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,19,,,10/07/2019,Cycle Inspection / Initial Inspection,40.647695862684,-73.974302579248,312,39,050400,3124350,3053290104,BK40
41022637,STONE PARK CAFE,Brooklyn,324,5 AVENUE,11215,7183690082,American,01/24/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,20,,,10/07/2019,Cycle Inspection / Initial Inspection,40.672883604537,-73.983218785238,306,39,013500,3020905,3009740044,BK37
50002052,OTTO'S TACOS,Manhattan,141,SECOND AVE,10003,6466784018,Mexican,10/25/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,13,A,10/25/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.729011967126,-73.987379092983,103,02,003800,1006746,1004640034,MN22
50007382,MEMORIES BAR SHEVROJA,Brooklyn,2611,BATH AVE,11214,7187152911,Eastern European,06/01/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,22,,,10/07/2019,Cycle Inspection / Initial Inspection,40.592791490104,-73.988377113181,313,47,030200,3186393,3068820004,BK29
41642251,LITTLE CAESARS,Bronx,15,EAST  167 STREET,10452,7189929000,Pizza,12/06/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,,,10/07/2019,Cycle Inspection / Initial Inspection,40.835896872868,-73.921760050737,204,16,019700,2090415,2024890029,BX63
50042132,CASA RESTAURANT & LOUNGE,Bronx,3607,E TREMONT AVE,10465,3472627353,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/20/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,10,,,10/07/2019,Inter-Agency Task Force / Initial Inspection,40.828801288939,-73.82445764905,210,13,016200,2076682,2054270050,BX52
41497832,INWOOD LOCAL WINE BAR & BEER GARDEN,Manhattan,4957,BROADWAY,10034,2125448900,American,07/27/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,12,A,07/27/2018,10/07/2019,Cycle Inspection / Re-inspection,40.867935204661,-73.92038443672,112,10,030300,1064994,1022420055,MN01
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,Irish,08/31/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,31,,,10/07/2019,Cycle Inspection / Initial Inspection,40.705338706862,-74.008692264913,101,01,000700,1000834,1000280015,MN25
50070042,NONNA DELIA'S,Queens,1832,COLLEGE POINT BLVD,11356,7184456662,Pizza/Italian,10/24/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,12,,,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.782953519028,-73.845880135343,407,19,092500,4449828,4040830034,QN23
41617871,O'DONOGHUE'S,Manhattan,156,WEST   44 STREET,10036,2129972261,American,06/07/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,06/07/2017,10/07/2019,Cycle Inspection / Initial Inspection,40.7567392236,-73.984634176115,105,04,011900,1022622,1009960056,MN17
41683490,HOLLOW NICKEL,Brooklyn,494,ATLANTIC AVENUE,11217,3472363417,American,08/20/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,13,,,10/07/2019,Cycle Inspection / Initial Inspection,40.68570422082,-73.98171558228,302,33,003900,3000977,3001850014,BK38
40739444,DUNKIN',Queens,5602,METROPOLITAN AVENUE,11385,7183813200,Donuts,03/07/2017,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,3,A,03/07/2017,10/07/2019,Cycle Inspection / Initial Inspection,40.712926129937,-73.906794547479,405,30,059500,4080243,4033660031,QN20
50056753,UPSIDE CRAFT BURGERS,Brooklyn,4102,18TH AVE,11218,7186330233,Jewish/Kosher,03/20/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,23,,,10/07/2019,Cycle Inspection / Initial Inspection,40.632025939211,-73.974463555551,314,44,048400,3127587,3054100001,BK41
41348662,SUBWAY,Staten Island,786,PORT RICHMOND AVENUE,10302,7187276222,Sandwiches/Salads/Mixed Buffet,10/18/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,10,A,10/18/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.625113344147,-74.145093805934,501,49,024700,5026423,5011410001,SI28
50032780,ABITINO'S PIZZA(CONCOURSE C),Queens,ONE,JFK INTERNATIONAL AIRPORT,11430,7182441344,Pizza,08/28/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,08/28/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98
50072200,THAI 72,Manhattan,128,W 72ND ST,10023,2124966153,Thai,01/18/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12,A,01/18/2018,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.777917057655,-73.980029244558,107,06,015700,1079315,1011430044,MN14
50088836,CHAKRA CAFE,Queens,4401,QUEENS BLVD,11104,9294620051,Sandwiches/Salads/Mixed Buffet,04/11/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,13,A,04/11/2019,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.743359387771,-73.920414788715,402,26,018300,4001904,4001610006,QN31
50058050,WOODHAVEN CAFE & PIZZERIA,Queens,10509,CROSSBAY BLVD,11417,7185296100,Pizza,05/22/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,05/22/2019,10/07/2019,Cycle Inspection / Re-inspection,40.679869080833,-73.844478845116,410,32,008600,4438535,4091630051,QN56
50077353,CHPOKE CAFE,Queens,24843,JERICHO TPKE,11426,7184701116,Asian,08/21/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,30,,,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.726314555688,-73.717216808304,413,23,161700,4177064,4086640055,QN43
50006011,UNIVERSITY CENTER CAFE,Manhattan,65,5TH AVE,10003,2122295161,American,10/03/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,11,A,10/03/2016,10/07/2019,Cycle Inspection / Initial Inspection,40.735649338607,-73.993858510092,102,02,006100,1088879,1005710001,MN23
50075413,PERIZIA PIZZA,Brooklyn,1387,CONEY ISLAND AVE,11230,7186923600,Jewish/Kosher,11/28/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,27,,,10/07/2019,Cycle Inspection / Initial Inspection,40.623816529816,-73.964981782029,314,44,053400,3179855,3067130070,BK43
50049315,TBAAR,Brooklyn,6317,8TH AVE,11220,9172135932,"Juice, Smoothies, Fruit Salads",08/30/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,14,,,10/07/2019,Cycle Inspection / Initial Inspection,40.633414303423,-74.011702046112,310,38,012000,3141676,3057350001,BK34
40525206,FULL MOON PIZZA,Bronx,600,EAST  187 STREET,10458,7185843451,Pizza/Italian,03/22/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,,,10/07/2019,Cycle Inspection / Initial Inspection,40.855487781306,-73.887467429515,206,15,039100,2118244,2030730044,BX06
